ip,total_events,probe_conn,login_failed,login_success,http_requests,http_404,fail_rate,probe_ratio,unique_users,unique_ports,unique_paths,time_span_h,events_per_h,active_hours,attack_chain,label,reason,ml_score
190.46.212.56,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,2,0,suspect,ML 离群（规则未覆盖，分数 0.465）,0.4648
106.61.42.246,54,11,5,22,10,1,0.185,0.204,2,21,9,7.85,6.88,6,1,normal,白名单（运维本机）,0.7888
106.61.37.103,13,3,0,10,0,0,0.0,0.231,1,10,0,7.17,1.81,4,0,normal,白名单（运维本机）,0.6608
34.175.223.218,12,0,0,0,12,12,0.0,0.0,0,0,12,0.0,12.0,1,0,normal,未见明显异常行为,0.4055
39.100.68.94,8,0,0,0,8,4,0.0,0.0,0,0,5,0.11,72.73,1,0,normal,未见明显异常行为,0.3916
78.153.140.93,8,0,0,0,8,4,0.0,0.0,0,0,2,5.8,1.38,4,0,normal,未见明显异常行为,0.4381
113.215.189.240,6,0,0,0,6,2,0.0,0.0,0,0,2,10.01,0.6,2,0,normal,未见明显异常行为,0.3897
::1,5,0,0,0,5,0,0.0,0.0,0,0,3,1.55,3.23,2,0,normal,白名单（运维本机）,0.3794
163.172.57.3,4,0,0,0,4,2,0.0,0.0,0,0,2,10.83,0.37,4,0,normal,未见明显异常行为,0.4165
3.254.72.4,4,0,0,0,4,0,0.0,0.0,0,0,1,0.0,4.0,1,0,normal,未见明显异常行为,0.3239
168.76.20.229,4,0,0,0,4,2,0.0,0.0,0,0,3,0.0,4.0,1,0,normal,未见明显异常行为,0.3298
18.201.229.237,4,0,0,0,4,0,0.0,0.0,0,0,1,0.0,4.0,1,0,normal,未见明显异常行为,0.3239
74.82.47.5,4,0,0,0,4,3,0.0,0.0,0,0,4,0.09,44.44,1,0,normal,未见明显异常行为,0.3624
18.133.243.236,4,0,0,0,4,0,0.0,0.0,0,0,1,0.0,4.0,1,0,normal,未见明显异常行为,0.3239
113.215.189.247,3,0,0,0,3,1,0.0,0.0,0,0,2,0.0,3.0,1,0,normal,未见明显异常行为,0.3183
59.82.83.24,3,0,0,0,3,1,0.0,0.0,0,0,2,0.0,3.0,1,0,normal,未见明显异常行为,0.3183
113.215.189.239,3,0,0,0,3,1,0.0,0.0,0,0,2,0.0,3.0,1,0,normal,未见明显异常行为,0.3183
59.82.83.50,3,0,0,0,3,1,0.0,0.0,0,0,2,0.0,3.0,1,0,normal,未见明显异常行为,0.3183
103.234.62.58,3,0,0,0,3,2,0.0,0.0,0,0,2,0.02,150.0,1,0,normal,未见明显异常行为,0.3583
146.158.74.114,2,2,0,0,0,0,0.0,1.0,0,2,0,0.05,40.0,1,0,normal,未见明显异常行为,0.3632
186.5.206.1,2,2,0,0,0,0,0.0,1.0,0,2,0,0.06,33.33,1,0,normal,未见明显异常行为,0.3621
131.100.212.98,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,1,0,normal,未见明显异常行为,0.3942
196.119.157.65,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
160.20.201.214,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
73.172.245.248,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,1,0,normal,未见明显异常行为,0.3942
71.228.156.239,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
146.158.111.163,2,2,0,0,0,0,0.0,1.0,0,2,0,0.1,20.0,1,0,normal,未见明显异常行为,0.3783
37.114.154.200,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
1.178.125.67,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
188.16.36.99,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
88.188.161.156,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,1,0,normal,未见明显异常行为,0.3942
110.38.13.22,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
45.180.141.251,2,2,0,0,0,0,0.0,1.0,0,2,0,0.03,66.67,1,0,normal,未见明显异常行为,0.3653
170.253.35.26,2,2,0,0,0,0,0.0,1.0,0,2,0,0.15,13.33,1,0,normal,未见明显异常行为,0.3914
196.235.251.86,2,2,0,0,0,0,0.0,1.0,0,2,0,0.05,40.0,1,0,normal,未见明显异常行为,0.3632
87.236.176.159,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
46.201.93.57,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
157.85.202.10,2,2,0,0,0,0,0.0,1.0,0,2,0,0.03,66.67,1,0,normal,未见明显异常行为,0.3653
47.103.98.159,2,2,0,0,0,0,0.0,1.0,0,2,0,0.1,20.0,1,0,normal,未见明显异常行为,0.3783
189.163.225.126,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
170.100.178.203,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
191.97.248.28,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
181.21.57.185,2,2,0,0,0,0,0.0,1.0,0,2,0,0.03,66.67,1,0,normal,未见明显异常行为,0.3653
38.252.236.59,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
178.123.71.16,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,1,0,normal,未见明显异常行为,0.3942
45.174.90.208,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,1,0,normal,未见明显异常行为,0.3942
200.189.31.2,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,1,0,normal,未见明显异常行为,0.3942
181.233.100.81,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
176.97.63.153,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
186.12.170.240,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
103.152.239.105,2,2,0,0,0,0,0.0,1.0,0,2,0,0.03,66.67,1,0,normal,未见明显异常行为,0.3653
91.225.162.251,2,2,0,0,0,0,0.0,1.0,0,2,0,0.08,25.0,1,0,normal,未见明显异常行为,0.3742
132.255.113.135,2,2,0,0,0,0,0.0,1.0,0,2,0,0.06,33.33,1,0,normal,未见明显异常行为,0.3621
181.47.50.210,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
185.57.230.3,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
114.130.98.182,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
51.68.236.93,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
203.161.56.21,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
43.134.94.96,2,0,0,0,2,0,0.0,0.0,0,0,2,1.32,1.52,2,0,normal,未见明显异常行为,0.3595
124.156.204.51,2,0,0,0,2,0,0.0,0.0,0,0,2,18.72,0.11,2,0,normal,未见明显异常行为,0.423
51.77.216.36,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
45.148.10.74,2,0,0,0,2,2,0.0,0.0,0,0,1,12.31,0.16,2,0,normal,未见明显异常行为,0.3852
81.167.26.57,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
34.132.27.196,2,0,0,0,2,2,0.0,0.0,0,0,1,0.75,2.67,2,0,normal,未见明显异常行为,0.3585
54.37.86.225,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
217.182.195.181,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
51.75.65.162,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
91.92.241.196,2,0,0,0,2,2,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3137
39.100.78.139,2,0,0,0,2,0,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
188.166.106.103,2,0,0,0,2,1,0.0,0.0,0,0,2,0.0,2.0,1,0,normal,未见明显异常行为,0.3127
176.36.206.235,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
31.128.191.111,2,1,0,0,0,0,0.0,0.5,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.419
65.50.131.163,2,2,0,0,0,0,0.0,1.0,0,2,0,0.06,33.33,1,0,normal,未见明显异常行为,0.3621
65.181.17.215,2,2,0,0,0,0,0.0,1.0,0,2,0,0.0,2.0,1,0,normal,未见明显异常行为,0.3541
84.54.70.9,2,2,0,0,0,0,0.0,1.0,0,2,0,0.01,200.0,1,0,normal,未见明显异常行为,0.3942
46.98.61.45,2,2,0,0,0,0,0.0,1.0,0,2,0,0.02,100.0,1,0,normal,未见明显异常行为,0.3634
37.212.89.114,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
95.90.202.182,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
103.203.57.2,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
213.230.86.61,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
13.218.238.60,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
64.89.160.135,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
100.11.243.100,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
38.51.19.167,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
38.51.19.160,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
48.214.146.73,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
82.215.111.28,1,0,0,0,0,0,0.0,0.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3556
205.210.31.23,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
116.111.187.115,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
95.173.233.196,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
101.68.51.116,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
78.173.50.165,1,0,0,0,0,0,0.0,0.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3556
148.227.67.54,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
181.46.57.219,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
41.92.124.218,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
34.123.241.241,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
45.63.4.69,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
203.101.186.48,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
43.159.36.180,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
35.222.122.52,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
43.157.188.74,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.164.190.28,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.173.1.69,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.77.129.145,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
66.228.53.136,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.167.245.18,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
202.173.11.248,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.130.26.3,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.79.30.146,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.165.127.225,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.135.145.77,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.130.57.46,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
195.96.139.244,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
119.28.177.175,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.150.57.148,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
43.166.247.82,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.166.136.153,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.130.141.193,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.165.195.234,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.131.36.84,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
188.92.79.113,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.135.142.37,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.157.62.101,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.164.3.23,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.130.74.193,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
101.32.15.141,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.167.241.46,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.163.80.48,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
129.28.84.30,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.28.26.247,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
43.164.190.124,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.42.186.158,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
130.211.252.148,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
199.244.88.231,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
1.14.110.85,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.136.179.43,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
185.223.235.39,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
81.19.216.121,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
193.176.31.150,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
185.223.235.15,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
172.110.223.252,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
35.237.229.237,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
34.63.203.8,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
34.123.67.40,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
43.165.125.66,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.80.69.73,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
49.51.72.236,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
104.196.219.200,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
35.231.167.196,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
34.80.218.173,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
136.108.54.95,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
20.55.84.146,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
205.210.31.155,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
124.156.206.145,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.157.175.122,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
51.161.93.85,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.134.100.175,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.227.80.105,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
1.15.52.154,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
106.63.26.22,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
106.63.26.29,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
106.63.26.15,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
106.63.26.148,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
146.190.166.168,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.153.119.119,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
172.174.236.184,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
185.242.226.102,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
4.148.1.85,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
167.71.229.198,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
194.14.239.83,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
193.183.87.205,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
141.138.214.90,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.133.91.48,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.153.7.191,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
40.124.179.169,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
8.211.159.4,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
27.148.196.62,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
165.22.60.26,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
51.77.52.145,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
5.133.213.61,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
185.143.9.228,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
83.140.240.94,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.130.106.18,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
175.27.171.245,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
162.14.81.106,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
43.130.100.35,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.74.129.159,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
170.106.140.110,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
49.51.183.84,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
39.103.158.106,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
138.68.143.68,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
119.91.20.139,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
34.92.51.71,1,0,0,0,1,1,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.3076
43.130.102.223,1,0,0,0,1,0,0.0,0.0,0,0,1,0.0,1.0,1,0,normal,未见明显异常行为,0.306
95.10.177.250,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
149.28.34.108,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
139.180.222.195,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
45.167.125.66,1,1,0,0,0,0,0.0,1.0,0,1,0,0.0,1.0,1,0,normal,未见明显异常行为,0.3628
